"code","details","summary","expiryTimestamp"
"SF5D2B","Expires Oct 14, 2022. ","Flat 20% Off","2022-10-13T18:30:00Z"
"SMP-nWeofkq89Q","Expires May 31, 2022. ","Free Trial","2022-05-30T18:30:00Z"
"CLD920862F6F616C","Expires Sep 15, 2022. ","Flat ₹200 off","2022-09-14T18:30:00Z"
"PARGBCS0100F3CE8EB","Expires Jan 5, 2023. ","Get St.Botanica","2023-01-04T18:30:00Z"
"EMAPNQ9EYTPCB5TSL","Expires Dec 15, 2021. ","₹1,100 off","2021-12-14T18:30:00Z"
"10000000007454829","Expires Dec 31, 2021. ","₹250 Voucher","2021-12-30T18:30:00Z"
"LS400014CGK42GPAY","Expires Feb 15, 2022. Minimum spend ₹799. ","₹400 off","2022-02-14T18:30:00Z"
"FT33WKYT9X","Expires May 7, 2023. ","33% off","2023-05-06T18:30:00Z"
"GPMAV10Y18","Expires Oct 25, 2022. ","₹201 off","2022-10-24T18:30:00Z"
"GPOCT2160350101XO2VEL58","Expires Nov 30, 2021. ","₹350 off","2021-11-29T18:30:00Z"
"ZGPH8AABIFSS12SX","Expires Oct 1, 2022. ","60% off","2022-09-30T18:30:00Z"
"GPC676236281","Expires Jan 2, 2023. ","100% off","2023-01-01T18:30:00Z"
"BRL8P6-9RX-SPGP","Expires Sep 15, 2022. ","Buy 1, Get 1","2022-09-14T18:30:00Z"
"ZGPJAACRX971RBL4","Expires Dec 17, 2022. ","60% off","2022-12-16T18:30:00Z"
"1000634861015","Expires May 31, 2023. ","₹300 Voucher","2023-05-31T18:00:00Z"
"ZGPHA1ACUEFHDGRSU4","Expires Oct 15, 2021. ","Flat ₹150 off","2021-10-15T18:29:59Z"
"GCN5LJVEZMWEFC","Expires Jan 15, 2022. ","50% off","2022-01-14T18:30:00Z"
"JLGHQ3D39NEZ4YVW","Expires Sep 9, 2022. ","₹1,250 off","2022-09-08T18:30:00Z"
"BRLJ2F-NH7-32GP","Expires Nov 30, 2022. ","Buy 1 Get 1","2022-11-29T18:30:00Z"
"GPSEP25WI046UCAUBP21","Expires Oct 15, 2021. ","₹250 off","2021-10-14T18:30:00Z"
"HNB6B9RK","Expires Sep 30, 2022. Minimum spend ₹2,999. ","Flat ₹500 off","2022-09-29T18:30:00Z"
"GPAY5GR76V","Expires Oct 15, 2022. ","Buy 1 Get 1 ","2022-10-14T18:30:00Z"
